StatID,TeamID,PlayerID,SeasonType,Season,Name,Team,Position,Started,GlobalTeamID,Updated,Games,FantasyPoints,Minutes,Seconds,FieldGoalsMade,FieldGoalsAttempted,FieldGoalsPercentage,EffectiveFieldGoalsPercentage,TwoPointersMade,TwoPointersAttempted,TwoPointersPercentage,ThreePointersMade,ThreePointersAttempted,ThreePointersPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowsPercentage,OffensiveRebounds,DefensiveRebounds,Rebounds,OffensiveReboundsPercentage,DefensiveReboundsPercentage,TotalReboundsPercentage,Assists,Steals,BlockedShots,Turnovers,PersonalFouls,Points,TrueShootingAttempts,TrueShootingPercentage,PlayerEfficiencyRating,AssistsPercentage,StealsPercentage,BlocksPercentage,TurnOversPercentage,UsageRatePercentage,FantasyPointsFanDuel,FantasyPointsDraftKings,FantasyPointsYahoo,PlusMinus,DoubleDoubles,TripleDoubles,FantasyPointsFantasyDraft,IsClosed,LineupConfirmed,LineupStatus
710881,3,20000439,1,2020,Nene Hilario,ATL,C,0,20000003,2020-10-31T22:19:28,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,Scrambled
709412,1,20000441,1,2020,Bradley Beal,WAS,SG,57,20000001,2020-10-31T22:19:28,57,2596.8,2094,10,604.9,1329.1,46.4,53.0,431.5,838.4,52.5,173.4,490.6,36.0,392.7,466.1,85.9,53.0,193.8,246.8,2.8,10.7,6.7,353.9,72.4,23.5,197.9,128.5,1775.8,1534.2,59.1,28.5,30.1,1.7,1.0,11.6,35.3,2692.7,2807.0,2692.7,-205.0,8.3,0.0,2807.0,False,,Scrambled
709563,1,20000442,1,2020,John Wall,WAS,PG,0,20000001,2020-10-31T22:19:28,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,Scrambled
709681,11,20000443,1,2020,Otto Porter,CHI,SF,9,20000011,2020-10-31T22:19:28,14,299.0,337,49,63.2,142.8,45.2,54.0,38.8,79.6,49.7,24.5,63.2,39.5,19.4,27.5,71.8,13.3,35.7,49.0,4.3,12.5,8.3,25.5,15.3,6.2,11.2,31.6,170.3,154.9,56.0,18.7,12.2,2.3,1.8,7.0,21.6,320.4,319.3,320.4,26.5,0.0,0.0,319.3,False,,Scrambled
709703,8,20000452,1,2020,Garrett Temple,BKN,SG,35,20000008,2020-10-31T22:19:28,62,1255.2,1764,43,226.4,598.7,38.6,49.7,96.9,205.0,48.2,129.5,393.7,33.6,71.4,88.7,82.1,29.6,192.8,222.4,1.8,11.3,6.8,159.1,50.0,29.6,63.2,110.2,653.8,637.8,52.2,13.1,13.1,1.4,1.5,9.4,17.1,1334.8,1365.8,1334.8,-41.8,2.1,0.0,1365.8,False,,Scrambled
709589,5,20000453,1,2020,Terrence Ross,ORL,SG,0,20000005,2020-10-31T22:19:28,69,1568.1,1927,6,347.8,862.9,41.1,51.8,167.3,348.8,49.0,180.5,514.1,35.8,160.1,187.7,87.0,13.3,213.2,226.4,0.7,12.6,6.6,83.6,78.5,24.5,71.4,111.2,1036.3,945.5,55.9,16.9,7.1,2.1,1.2,7.3,23.4,1671.2,1705.4,1671.2,-73.4,0.0,0.0,1705.4,False,,Scrambled
709503,21,20000455,1,2020,Jonas Valanciunas,MEM,C,70,20000021,2020-10-31T22:19:28,70,2318.6,1882,14,440.6,753.8,59.7,61.8,408.0,661.0,62.9,32.6,92.8,35.9,151.0,204.0,75.5,217.3,586.5,803.8,12.6,32.8,22.9,133.6,30.6,78.5,129.5,188.7,1064.9,843.5,64.4,26.9,11.1,0.8,3.8,13.6,22.1,2427.7,2501.0,2427.7,5.2,39.8,1.0,2501.0,False,,Scrambled
709555,24,20000456,1,2020,DeMar DeRozan,SA,SG,68,20000024,2020-10-31T22:19:28,68,2589.3,2362,24,568.1,1070.0,54.2,54.7,559.0,1034.3,55.1,9.4,35.7,26.2,388.6,460.0,86.2,44.9,337.6,382.5,2.1,15.7,9.1,386.6,71.4,20.4,167.3,183.6,1534.1,1272.4,61.5,25.5,26.5,1.5,0.8,11.8,26.9,2681.1,2707.3,2681.1,-120.4,7.3,0.0,2707.3,False,,Scrambled
708365,10,20000457,1,2020,Kyle Lowry,TOR,PG,58,20000010,2020-10-31T22:19:28,58,2207.2,2140,18,340.7,819.1,42.4,52.8,173.4,343.7,51.4,167.3,475.3,35.9,299.9,349.9,87.4,32.6,265.2,297.8,1.7,13.0,7.6,441.7,83.6,26.5,181.6,193.8,1148.5,973.0,60.2,21.5,31.2,1.9,1.2,16.0,23.7,2317.3,2422.5,2317.3,280.5,15.3,2.1,2422.5,False,,Scrambled
708347,28,20000459,1,2020,Lou Williams,LAC,SG,8,20000028,2020-10-31T22:19:28,65,1941.8,1900,57,398.8,954.7,42.6,48.6,285.6,633.4,46.0,113.2,321.3,35.9,297.8,345.8,87.8,31.6,173.4,205.0,1.8,9.6,5.8,372.3,44.9,12.2,185.6,81.6,1208.7,1106.9,55.7,21.2,30.7,1.2,0.6,14.6,29.2,1998.9,2104.5,1998.9,207.1,2.1,0.0,2104.5,False,,Scrambled
